x pendolo,y pendolo,angolo,,"pivot x,y",592,52
762,535,0.33842597,,,,
800,513,0.423845632,,,,
829,493,0.493129681,,,,
850,477,0.545593652,,,,
865,466,0.582969089,,,,
876,456,0.612716672,,,,
881,451,0.62685628,,,,
879,453,0.621192437,,,,
871,461,0.598646459,,,,
858,472,0.564569394,,,,
840,484,0.521138143,,,,
815,504,0.458323791,,,,
781,525,0.380141813,,,,
740,547,0.290529839,,,,
696,563,0.200780278,,,,
654,571,0.118897052,,,,
608,576,0.030524867,,,,
557,575,-0.066821971,,,,
510,568,-0.157596902,,,,
466,555,-0.24544639,,,,
424,536,-0.334095606,,,,
386,513,-0.420235186,,,,
354,492,-0.495836845,,,,
333,476,-0.548358581,,,,
317,462,-0.590811585,,,,
308,453,-0.616227743,,,,
303,449,-0.629245455,,,,
304,450,-0.626401798,,,,
310,455,-0.610559409,,,,
321,465,-0.580703463,,,,
338,480,-0.535595279,,,,
362,498,-0.47612468,,,,
397,519,-0.395551113,,,,
436,542,-0.308221245,,,,
477,559,-0.223050307,,,,
522,571,-0.134065727,,,,
570,577,-0.041880259,,,,
620,576,0.053384343,,,,
666,570,0.141897055,,,,
705,560,0.218877366,,,,
748,544,0.307045732,,,,
786,522,0.391462842,,,,
818,502,0.465423806,,,,
840,485,0.520140397,,,,
856,473,0.560092488,,,,
867,464,0.588562514,,,,
873,458,0.605416573,,,,
873,458,0.605416573,,,,
867,464,0.588562514,,,,
855,474,0.557320271,,,,
839,486,0.517407418,,,,
816,504,0.460101525,,,,
783,524,0.384518026,,,,
745,545,0.300920234,,,,
702,561,0.212836894,,,,
663,571,0.1359576,,,,
618,576,0.049577661,,,,
568,576,-0.04576954,,,,
521,571,-0.1359576,,,,
478,559,-0.221173637,,,,
438,544,-0.303347724,,,,
400,522,-0.387821536,,,,
367,501,-0.464538081,,,,
342,484,-0.524613257,,,,
326,470,-0.566729218,,,,
315,461,-0.595301744,,,,
310,456,-0.609395736,,,,
310,456,-0.609395736,,,,
314,460,-0.598114618,,,,
325,469,-0.569517314,,,,
340,482,-0.530096398,,,,
363,499,-0.473442487,,,,
396,519,-0.397373131,,,,
433,541,-0.314370615,,,,
473,558,-0.230980511,,,,
516,570,-0.145678776,,,,
563,576,-0.055287111,,,,
612,576,0.038149421,,,,
655,571,0.120796291,,,,
694,564,0.196644245,,,,
736,549,0.282016127,,,,
774,529,0.364501923,,,,
807,510,0.438895813,,,,
831,492,0.497593456,,,,
847,480,0.537321403,,,,
859,471,0.567346692,,,,
866,465,0.585764219,,,,
867,465,0.587443632,,,,
862,469,0.574603071,,,,
851,477,0.54731119,,,,
836,489,0.50923318,,,,
815,505,0.457447511,,,,
783,525,0.383782667,,,,
746,545,0.302769368,,,,
705,560,0.218877366,,,,
668,571,0.145402028,,,,
624,575,0.061109287,,,,
575,577,-0.032369642,,,,
530,572,-0.118670546,,,,
487,562,-0.203045217,,,,
447,548,-0.284413352,,,,
411,528,-0.363367282,,,,
377,508,-0.440581603,,,,
351,491,-0.502055878,,,,
334,478,-0.544551708,,,,
323,468,-0.574005757,,,,
317,463,-0.589685159,,,,
316,462,-0.592491911,,,,
320,465,-0.582394137,,,,
329,474,-0.557320271,,,,
344,485,-0.520140397,,,,
367,502,-0.463647609,,,,
398,521,-0.392214587,,,,
433,541,-0.314370615,,,,
472,558,-0.232852392,,,,
513,569,-0.151631739,,,,
558,576,-0.064794667,,,,
606,577,0.026660348,,,,
649,571,0.109388186,,,,
688,566,0.184643063,,,,
727,552,0.263711834,,,,
766,534,0.346436896,,,,
798,516,0.41782433,,,,
823,499,0.476980152,,,,
840,486,0.519146114,,,,
852,477,0.54902514,,,,
859,471,0.567346692,,,,
860,470,0.570127413,,,,
856,474,0.55902521,,,,
846,481,0.534571614,,,,
831,493,0.496641875,,,,
810,508,0.445950342,,,,
780,526,0.377593057,,,,
744,546,0.298498932,,,,
705,561,0.218460916,,,,
669,571,0.147287838,,,,
625,576,0.062894039,,,,
579,577,-0.024756846,,,,
534,573,-0.110867881,,,,
492,564,-0.192884312,,,,
453,551,-0.271670215,,,,
418,533,-0.34710072,,,,
384,513,-0.423845632,,,,
358,496,-0.485034722,,,,
341,483,-0.527352844,,,,
329,474,-0.557320271,,,,
323,469,-0.572911519,,,,
322,468,-0.575698974,,,,
326,471,-0.565647469,,,,
335,479,-0.541795962,,,,
349,490,-0.506516771,,,,
372,505,-0.452102829,,,,
402,524,-0.382696155,,,,
436,543,-0.307632401,,,,
474,558,-0.22910698,,,,
514,570,-0.149456306,,,,
558,576,-0.064794667,,,,
603,577,0.020949316,,,,
646,572,0.103475258,,,,
684,567,0.17677606,,,,
722,554,0.253397547,,,,
759,538,0.330981061,,,,
791,520,0.402051618,,,,
816,504,0.460101525,,,,
834,491,0.503804581,,,,
846,482,0.533551476,,,,
853,477,0.550735503,,,,
854,476,0.553495149,,,,
850,480,0.542478523,,,,
840,486,0.519146114,,,,
826,497,0.484107387,,,,
805,512,0.433647786,,,,
775,530,0.365630842,,,,
740,548,0.289976411,,,,
702,562,0.212432021,,,,
668,571,0.145402028,,,,
625,576,0.062894039,,,,
579,578,-0.024709799,,,,
536,574,-0.106870954,,,,
495,565,-0.186877541,,,,
457,552,-0.263711834,,,,
422,536,-0.337778775,,,,
390,517,-0.409812751,,,,
365,501,-0.468092024,,,,
347,488,-0.511953778,,,,
336,480,-0.539043985,,,,
330,475,-0.554551617,,,,
329,474,-0.557320271,,,,
332,477,-0.54902514,,,,
341,484,-0.526345593,,,,
355,495,-0.491245231,,,,
378,510,-0.437105171,,,,
409,528,-0.367033048,,,,
441,546,-0.296648663,,,,
478,560,-0.220752276,,,,
517,571,-0.143515176,,,,
559,577,-0.062774555,,,,
604,578,0.022809732,,,,
646,573,0.103278059,,,,
683,567,0.174893732,,,,
721,555,0.251050518,,,,
756,540,0.324207552,,,,
787,523,0.392527656,,,,
812,508,0.449514275,,,,
829,495,0.491245231,,,,
840,487,0.51815528,,,,
846,483,0.532534851,,,,
847,482,0.535273748,,,,
843,485,0.525341822,,,,
834,492,0.502843211,,,,
819,503,0.466304822,,,,
797,517,0.415227336,,,,
768,533,0.350772669,,,,
735,550,0.279625215,,,,
697,564,0.20227357,,,,
662,572,0.133810977,,,,
622,577,0.057080782,,,,
577,578,-0.028509384,,,,
535,574,-0.108764479,,,,
495,566,-0.186522348,,,,
458,553,-0.261347641,,,,
424,538,-0.332820213,,,,
394,520,-0.400240657,,,,
370,505,-0.455669055,,,,
352,493,-0.498392979,,,,
341,485,-0.525341822,,,,
336,481,-0.538016484,,,,
335,480,-0.540763025,,,,
339,483,-0.530811011,,,,
348,490,-0.508260844,,,,
363,501,-0.471633242,,,,
386,515,-0.418625051,,,,
416,532,-0.351444794,,,,
448,549,-0.282016127,,,,
483,562,-0.210557643,,,,
522,572,-0.133810977,,,,
564,577,-0.053282852,,,,
608,578,0.030408874,,,,
647,573,0.105176669,,,,
683,567,0.174893732,,,,
720,555,0.249184246,,,,
754,542,0.319299579,,,,
784,525,0.385599094,,,,
808,511,0.439842583,,,,
824,499,0.478744153,,,,
835,491,0.505549919,,,,
841,488,0.518899079,,,,
841,488,0.518899079,,,,
837,491,0.509030496,,,,
827,497,0.485866174,,,,
812,509,0.44865755,,,,
789,523,0.396147153,,,,
760,538,0.332820213,,,,
726,553,0.261347641,,,,
691,566,0.190276909,,,,
655,572,0.120566237,,,,
617,577,0.047583103,,,,
573,578,-0.036105975,,,,
532,574,-0.114440305,,,,
493,565,-0.190638906,,,,
458,553,-0.261347641,,,,
425,539,-0.330349851,,,,
397,522,-0.393279405,,,,
374,508,-0.445950342,,,,
356,496,-0.48855349,,,,
346,489,-0.512715335,,,,
342,486,-0.522613163,,,,
342,486,-0.522613163,,,,
346,489,-0.512715335,,,,
355,496,-0.490307957,,,,
373,507,-0.448591174,,,,
396,521,-0.395850441,,,,
424,538,-0.332820213,,,,
456,553,-0.265069418,,,,
491,565,-0.194394819,,,,
530,573,-0.118444898,,,,
570,578,-0.041800732,,,,
614,577,0.041880259,,,,
651,572,0.112978382,,,,
686,567,0.18053691,,,,
721,555,0.251050518,,,,
754,542,0.319299579,,,,
782,527,0.380506377,,,,
805,513,0.432820374,,,,
820,503,0.468072359,,,,
830,496,0.492059145,,,,
835,493,0.503626296,,,,
835,493,0.503626296,,,,
829,496,0.490307957,,,,
819,504,0.465415954,,,,
802,515,0.425813559,,,,
779,529,0.373619933,,,,
751,544,0.3125765,,,,
718,557,0.24451268,,,,
683,568,0.174561641,,,,
647,573,0.105176669,,,,
610,578,0.034207184,,,,
567,578,-0.047492777,,,,
527,573,-0.124118755,,,,
490,565,-0.196270701,,,,
456,553,-0.265069418,,,,
425,539,-0.330349851,,,,
398,523,-0.390713824,,,,
376,510,-0.440683449,,,,
360,500,-0.477831055,,,,
351,493,-0.50014075,,,,
348,491,-0.507291891,,,,
348,491,-0.507291891,,,,
353,494,-0.495693625,,,,
364,502,-0.468966708,,,,
382,513,-0.427444353,,,,
406,527,-0.373225836,,,,
434,543,-0.311327878,,,,
466,557,-0.24451268,,,,
501,568,-0.174561641,,,,
539,575,-0.100993656,,,,
578,579,-0.026559218,,,,
620,578,0.053181744,,,,
658,572,0.126248035,,,,
690,566,0.1884003,,,,
724,554,0.257127598,,,,
755,541,0.321750554,,,,
782,527,0.380506377,,,,
803,515,0.42760342,,,,
817,506,0.460117174,,,,
826,500,0.481344876,,,,
829,497,0.489373964,,,,
828,498,0.486693174,,,,
822,502,0.472496936,,,,
810,510,0.44424969,,,,
793,521,0.404891786,,,,
769,535,0.351262279,,,,
740,549,0.289425028,,,,
707,561,0.2222025,,,,
675,570,0.158881132,,,,
638,575,0.087728356,,,,
599,579,0.013281951,,,,
559,578,-0.062655524,,,,
521,573,-0.135442061,,,,
485,564,-0.206019268,,,,
453,552,-0.271153142,,,,
424,538,-0.332820213,,,,
398,524,-0.389967521,,,,
378,511,-0.436269293,,,,
364,502,-0.468966708,,,,
356,497,-0.4876217,,,,
